gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamTeamAvgPoints	guestTeamAvgPoints
26	Austria	SKN	S	0.76000000	-1.60000000	0.33333333	-0.38461538	-1.50000000	-1.69230769	1.20000000	0.40000000
26	WAC	LASK	N	0.24000000	0.12000000	-0.30769231	-1.08333333	0.53846154	-0.33333333	0.80000000	1.44000000
26	Admira	Graz	N	1.32000000	0.52000000	1.08333333	-0.76923077	0.91666667	0.15384615	1.60000000	1.92000000
26	Mattersburg	Salzburg	U	0.68000000	1.40000000	0.00000000	-0.08333333	1.84615385	0.91666667	1.36000000	2.32000000
27	Rapid	WAC	S	0.88461538	-0.76923077	0.30769231	0.53846154	-0.50000000	-1.08333333	1.53846154	0.76923077
27	Graz	Altach	S	1.34615385	-0.23076923	0.91666667	0.28571429	0.30769231	-0.76923077	1.96153846	1.19230769
27	LASK	Mattersburg	S	0.80769231	-0.03846154	0.53846154	-0.07692308	0.00000000	-0.08333333	1.50000000	1.34615385
27	SKN	Admira	N	-0.30769231	0.03846154	-1.50000000	-1.85714286	0.84615385	-0.76923077	0.38461538	1.53846154
27	Salzburg	Austria	S	1.80769231	0.11538462	1.84615385	0.84615385	0.61538462	-0.38461538	2.26923077	1.26923077
28	Admira	LASK	N	1.22222222	0.29629630	0.84615385	-0.64285714	0.64285714	-0.07692308	1.59259259	1.55555556
28	Austria	Altach	S	0.85185185	-0.25925926	0.61538462	-0.71428571	0.30769231	-0.78571429	1.22222222	1.14814815
28	SKN	Graz	N	-0.33333333	0.59259259	-1.46153846	-1.85714286	0.92307692	0.28571429	0.37037037	2.00000000
28	Salzburg	WAC	S	1.92592593	-0.88888889	2.07142857	0.84615385	-0.50000000	-1.30769231	2.29629630	0.74074074
28	Mattersburg	Rapid	N	0.66666667	0.55555556	0.00000000	-0.23076923	0.57142857	0.53846154	1.29629630	1.59259259
29	Graz	Austria	N	1.46428571	-0.03571429	0.92307692	0.53333333	0.64285714	-0.71428571	2.03571429	1.28571429
29	Altach	Admira	N	0.46428571	0.03571429	0.30769231	-0.80000000	0.71428571	-0.64285714	1.10714286	1.53571429
29	Rapid	SKN	S	1.10714286	-1.75000000	0.57142857	0.64285714	-1.64285714	-1.85714286	1.64285714	0.35714286
29	WAC	Mattersburg	N	0.14285714	-0.17857143	-0.50000000	-1.35714286	-0.13333333	-0.23076923	0.71428571	1.25000000
29	LASK	Salzburg	S	0.85714286	1.50000000	0.64285714	0.00000000	2.06666667	0.84615385	1.60714286	2.32142857
30	Graz	Mattersburg	S	1.34482759	-0.10344828	0.71428571	0.53333333	-0.13333333	-0.07142857	1.96551724	1.31034483
30	SKN	LASK	N	-0.41379310	0.34482759	-1.64285714	-1.80000000	0.66666667	0.00000000	0.34482759	1.65517241
30	Altach	WAC	S	0.41379310	-0.96551724	0.21428571	-0.80000000	-0.60000000	-1.35714286	1.06896552	0.68965517
30	Austria	Rapid	N	0.89655172	0.62068966	0.64285714	-0.53333333	0.60000000	0.64285714	1.34482759	1.68965517
30	Admira	Salzburg	N	1.17241379	1.41379310	0.71428571	-0.53333333	2.06666667	0.71428571	1.58620690	2.24137931
31	WAC	Graz	S	0.10000000	0.70000000	-0.60000000	-1.33333333	0.86666667	0.53333333	0.66666667	2.00000000
31	LASK	Austria	S	0.93333333	-0.10000000	0.66666667	0.13333333	0.33333333	-0.53333333	1.70000000	1.30000000
31	Mattersburg	SKN	U	0.60000000	-1.73333333	-0.13333333	-0.26666667	-1.66666667	-1.80000000	1.26666667	0.33333333
31	Salzburg	Altach	S	2.00000000	-0.26666667	2.06666667	0.93333333	0.26666667	-0.80000000	2.26666667	1.13333333
31	Rapid	Admira	S	1.20000000	-0.06666667	0.60000000	0.86666667	0.40000000	-0.53333333	1.73333333	1.53333333
32	Austria	Mattersburg	N	0.70967742	-0.19354839	0.33333333	-0.56250000	-0.12500000	-0.26666667	1.25806452	1.25806452
32	Altach	LASK	N	0.45161290	0.41935484	0.26666667	-0.87500000	0.68750000	0.13333333	1.09677419	1.74193548
32	Admira	WAC	S	1.00000000	-0.90322581	0.40000000	-0.68750000	-0.50000000	-1.33333333	1.48387097	0.74193548
32	Graz	Rapid	S	1.38709677	0.80645161	0.86666667	0.43750000	0.75000000	0.86666667	1.93548387	1.77419355
32	SKN	Salzburg	N	-0.41935484	1.51612903	-1.66666667	-1.68750000	2.06250000	0.93333333	0.35483871	2.29032258
33	LASK	Rapid	N	0.96875000	0.71875000	0.68750000	0.25000000	0.75000000	0.68750000	1.78125000	1.71875000
33	SKN	WAC	N	-0.46875000	-0.93750000	-1.68750000	-1.68750000	-0.50000000	-1.37500000	0.34375000	0.71875000
33	Austria	Admira	U	0.65625000	-0.09375000	0.25000000	-0.56250000	0.50000000	-0.68750000	1.21875000	1.53125000
33	Mattersburg	Altach	N	0.65625000	-0.37500000	-0.12500000	-0.18750000	0.12500000	-0.87500000	1.31250000	1.06250000
33	Salzburg	Graz	S	2.00000000	0.68750000	2.06250000	1.00000000	0.93750000	0.43750000	2.31250000	1.96875000
34	Graz	LASK	S	1.39393939	0.39393939	0.93750000	0.23529412	0.52941176	0.25000000	1.90909091	1.72727273
34	Admira	Mattersburg	U	1.00000000	-0.18181818	0.50000000	-0.64705882	-0.17647059	-0.18750000	1.51515152	1.27272727
34	Altach	SKN	N	0.39393939	-1.66666667	0.12500000	-0.76470588	-1.64705882	-1.68750000	1.12121212	0.33333333
34	Rapid	Salzburg	N	1.30303030	1.57575758	0.75000000	0.76470588	2.11764706	1.00000000	1.75757576	2.33333333
34	WAC	Austria	S	0.21212121	-0.15151515	-0.50000000	-1.23529412	0.23529412	-0.56250000	0.78787879	1.21212121
35	Rapid	Altach	S	1.17647059	-0.38235294	0.52941176	0.76470588	0.00000000	-0.76470588	1.70588235	1.08823529
35	Salzburg	Mattersburg	S	2.08823529	-0.17647059	2.11764706	1.11764706	-0.17647059	-0.17647059	2.35294118	1.26470588
35	SKN	Austria	S	-0.38235294	-0.17647059	-1.64705882	-1.47058824	0.23529412	-0.58823529	0.41176471	1.17647059
35	Graz	Admira	S	1.41176471	-0.08823529	1.00000000	0.23529412	0.47058824	-0.64705882	1.94117647	1.50000000
35	LASK	WAC	N	0.88235294	-0.82352941	0.52941176	0.11764706	-0.41176471	-1.23529412	1.67647059	0.85294118
36	Admira	SKN	N	0.94285714	-1.45714286	0.47058824	-0.72222222	-1.44444444	-1.47058824	1.45714286	0.48571429
36	Austria	Salzburg	S	0.62857143	1.60000000	0.23529412	-0.66666667	2.05555556	1.11764706	1.14285714	2.37142857
36	Mattersburg	LASK	S	0.60000000	0.25714286	-0.17647059	-0.22222222	0.38888889	0.11764706	1.22857143	1.62857143
36	Altach	Graz	U	0.34285714	0.65714286	0.00000000	-0.88888889	1.05555556	0.23529412	1.05714286	1.97142857
36	WAC	Rapid	U	0.31428571	0.71428571	-0.41176471	-1.05555556	0.66666667	0.76470588	0.91428571	1.74285714
