contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2018	04	So	0.791666667	3552	3	SKN St. Pölten	Red Bull Salzburg	-2	-0.333333333	1.509090909	-2	-4	2.115384615	0.965517241	0	2.163636364	56
Europa League  Europa League	2018	05	Do	0.878472222	29520	4	Red Bull Salzburg	Olympique Marseille	2	2	0.333333333	2.115384615	1	1	-1	2.178571429	1.333333333	57
Bundesliga  Bundesliga	2018	05	So	0.6875	14712	3	Red Bull Salzburg	SK Sturm Graz	3	2	-2	2.111111111	1	-0.5	-5	2.192982456	1	58
ÖFB-Cup  ÖFB-Cup	2018	05	Mi	0.854166667	27100	3	SK Sturm Graz	Red Bull Salzburg	0	0	1.551724138	-0.5	-4	2.142857143	1	0.75	2.206896552	59
Bundesliga  Bundesliga	2018	05	So	0.6875	14441	4	SK Rapid Wien	Red Bull Salzburg	-3	0.333333333	1.525423729	-1	-0.5	2.142857143	0.967741935	0.333333333	2.186440678	60
Bundesliga  Bundesliga	2018	05	So	0.6875	14441	7	Red Bull Salzburg	SV Mattersburg	1	2.016666667	-0.75	2.142857143	1.03125	-0.333333333	-2	2.2	0.5	61
Bundesliga  Bundesliga	2018	05	So	0.729166667	4300	7	FK Austria Wien	Red Bull Salzburg	4	0	1.540983607	0	-2.5	2.103448276	1.03125	0.666666667	2.213114754	62
ÖFB-Cup  ÖFB-Cup	2017	07	Fr	0.729166667	3000	45	ASK Ebreichsdorf	FK Austria Wien	0	0	-0.25	0	0	2	-2.5	0	1.25	63
Bundesliga  Bundesliga	2017	07	So	0.6875	5273	9	SC Rheindorf Altach	FK Austria Wien	3	-0.25	-0.2	-1	-2	2	-1.666666667	0	1.2	64
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.878472222	5892	4	FK Austria Wien	AEL Limassol	0	0.666666667	0	2	-2	0	0	1	0	65
Bundesliga  Bundesliga	2017	07	So	0.666666667	6184	3	FK Austria Wien	SK Sturm Graz	-1	0.571428571	-1.8	1.333333333	-2	-0.333333333	-4	1	0.8	66
Europa League Qualifikation  Europa League Qualifikation	2017	08	Mi	0.75	9000	3	AEL Limassol	FK Austria Wien	-1	0	-0.625	0	0	0.75	-2	1	0.875	67
Bundesliga  Bundesliga	2017	08	So	0.6875	26000	4	SK Rapid Wien	FK Austria Wien	0	-0.5	-0.444444444	-2	-0.5	0.75	-1.4	0.25	1.111111111	68
Bundesliga  Bundesliga	2017	08	Sa	0.770833333	6512	6	FK Austria Wien	LASK	2	0.7	-0.25	0.75	-1.166666667	-0.5	0	1.1	1.25	69
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.864583333	15000	5	NK Osijek	FK Austria Wien	-1	0	-0.181818182	0	0	1	-1.166666667	0	1.272727273	70
Bundesliga  Bundesliga	2017	08	So	0.791666667	4500	3	SV Mattersburg	FK Austria Wien	-2	-0.2	-0.083333333	-0.333333333	-1.5	1	-0.857142857	0.4	1.416666667	71
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.878472222	8000	4	FK Austria Wien	NK Osijek	-1	1.076923077	-1	1	-0.5	-1	0	1.538461538	0	72
Bundesliga  Bundesliga	2017	08	So	0.791666667	3300	3	FC Admira Wacker Mödling	FK Austria Wien	-2	-0.5	0	-2	-2.5	0.666666667	-0.5	0.25	1.428571429	73
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	5878	13	FK Austria Wien	Wolfsberger AC	0	1.066666667	-1.25	0.666666667	-0.222222222	-1	-1.5	1.533333333	0.25	74
Bundesliga  Bundesliga	2017	09	Do	0.791666667	31409	5	FK Austria Wien	AC Mailand	-4	1	0	0.571428571	-0.222222222	0	0	1.5	0	75
Bundesliga  Bundesliga	2017	09	So	0.791666667	4424	3	FK Austria Wien	SKN St. Pölten	4	0.705882353	-3	0	-0.222222222	-2	-4	1.411764706	0	76
ÖFB-Cup  ÖFB-Cup	2017	09	Mi	0.770833333	2050	3	Union Vöcklamarkt	FK Austria Wien	-3	0	0.111111111	0	0	0.444444444	-0.222222222	0	1.5	77
Bundesliga  Bundesliga	2017	09	Do	0.878472222	16954	4	AEK Athen	FK Austria Wien	0	0	0.263157895	0	0	0.444444444	0.1	0	1.578947368	78
Bundesliga  Bundesliga	2017	10	So	0.6875	5850	3	FK Austria Wien	SC Rheindorf Altach	2	1.05	-0.6	0.444444444	0.090909091	0.333333333	-2	1.55	0.6	79
Bundesliga  Bundesliga	2017	10	So	0.6875	11345	14	SK Sturm Graz	FK Austria Wien	3	0.5	0.333333333	-0.333333333	-2.333333333	0.6	0.090909091	1.166666667	1.619047619	80
Bundesliga  Bundesliga	2017	10	Do	0.878472222	20690	4	FK Austria Wien	HNK Rijeka	-2	1.045454545	0	0.6	-0.166666667	0	0	1.545454545	1	81
Bundesliga  Bundesliga	2017	10	So	0.6875	14189	3	FK Austria Wien	SK Rapid Wien	-1	0.913043478	-1	0.363636364	-0.166666667	-1.333333333	-0.5	1.47826087	0.4	82
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	0.854166667	14652	3	FK Austria Wien	SK Rapid Wien	-1	0.833333333	-0.666666667	0.25	-0.166666667	-1.333333333	0	1.416666667	0.833333333	83
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	5613	3	LASK	FK Austria Wien	0	0	0	-0.5	-0.666666667	0.153846154	-0.166666667	1	1.36	84
Bundesliga  Bundesliga	2017	11	Do	0.791666667	7912	5	HNK Rijeka	FK Austria Wien	-3	1.333333333	0	0	1	0.153846154	-0.153846154	1.666666667	1.346153846	85
Bundesliga  Bundesliga	2017	11	So	0.583333333	5892	3	FK Austria Wien	SV Mattersburg	-2	0.925925926	-1	0.153846154	0.071428571	-0.75	-1.5	1.407407407	0.333333333	86
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	6350	13	FK Austria Wien	FC Admira Wacker Mödling	-1	0.821428571	-2.2	0	0.071428571	-2	-2.5	1.357142857	0.2	87
Bundesliga  Bundesliga	2017	11	Do	0.878472222	17932	5	AC Mailand	FK Austria Wien	4	5	0	0	4	-0.066666667	0.071428571	3	1.310344828	88
Bundesliga  Bundesliga	2017	11	So	0.583333333	3500	3	Wolfsberger AC	FK Austria Wien	-1	0.2	-0.133333333	-1	-1	-0.066666667	-0.2	0.4	1.266666667	89
Bundesliga  Bundesliga	2017	11	Mi	0.770833333	2214	3	SKN St. Pölten	FK Austria Wien	1	-0.4	-0.096774194	-2	-4	-0.066666667	-0.125	0	1.322580645	90
Bundesliga  Bundesliga	2017	12	Do	0.791666667	23133	4	FK Austria Wien	AEK Athen	0	0.78125	0	-0.066666667	-0.176470588	0	0	1.28125	1	91
Bundesliga  Bundesliga	2017	12	So	0.583333333	2717	3	SC Rheindorf Altach	FK Austria Wien	1	0.333333333	-0.121212121	0.333333333	-2	-0.0625	-0.176470588	0.5	1.272727273	92
Bundesliga  Bundesliga	2017	12	So	0.6875	6404	7	FK Austria Wien	SK Sturm Graz	1	0.735294118	-0.714285714	-0.0625	-0.222222222	0.5	-2.333333333	1.235294118	1.428571429	93
Bundesliga  Bundesliga	2018	02	So	0.6875	25600	49	SK Rapid Wien	FK Austria Wien	0	0.142857143	-0.114285714	-1.333333333	0.25	0	-0.222222222	1.142857143	1.285714286	94
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	5575	6	FK Austria Wien	LASK	-2	0.75	-0.5	0	-0.210526316	-0.333333333	-0.666666667	1.277777778	1	95
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	3600	7	SV Mattersburg	FK Austria Wien	1	0	-0.162162162	-0.75	-0.333333333	-0.111111111	-0.210526316	0.714285714	1.243243243	96
Bundesliga  Bundesliga	2018	02	Sa	0.666666667	2400	7	FC Admira Wacker Mödling	FK Austria Wien	1	-0.166666667	-0.184210526	-2	-1.333333333	-0.111111111	-0.25	0.666666667	1.210526316	97
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	5012	7	FK Austria Wien	Wolfsberger AC	2	0.692307692	-1	-0.111111111	-0.285714286	-1	-1	1.179487179	0.333333333	98
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	6055	7	FK Austria Wien	SKN St. Pölten	4	0.725	-2.5	0	-0.285714286	-1	-4	1.225	0.5	99
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	6089	13	FK Austria Wien	SC Rheindorf Altach	1	0.804878049	-0.571428571	0.2	-0.285714286	0.5	-2	1.268292683	0.857142857	100
Bundesliga  Bundesliga	2018	04	Sa	0.666666667	11318	7	SK Sturm Graz	FK Austria Wien	-2	0.75	-0.023809524	0.5	-2	0.238095238	-0.285714286	1.25	1.30952381	101
Bundesliga  Bundesliga	2018	04	So	0.6875	11260	8	FK Austria Wien	SK Rapid Wien	-4	0.837209302	-0.375	0.238095238	-0.181818182	-1	0.25	1.348837209	1.125	102
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	5604	6	LASK	FK Austria Wien	1	0.428571429	-0.068181818	-0.333333333	0	0.045454545	-0.181818182	1.285714286	1.318181818	103
Bundesliga  Bundesliga	2018	04	Sa	0.666666667	5420	7	FK Austria Wien	SV Mattersburg	-1	0.711111111	-0.375	0.045454545	-0.217391304	-0.4	-0.333333333	1.288888889	1	104
Bundesliga  Bundesliga	2018	05	Sa	0.770833333	6050	7	FK Austria Wien	FC Admira Wacker Mödling	0	0.673913043	-1.285714286	0	-0.217391304	-1.25	-1.333333333	1.260869565	1	105
Bundesliga  Bundesliga	2018	05	Di	0.791666667	2639	10	Wolfsberger AC	FK Austria Wien	1	0	-0.106382979	-1	-1.25	0	-0.217391304	0.285714286	1.255319149	106
Bundesliga  Bundesliga	2018	05	So	0.6875	3083	5	SKN St. Pölten	FK Austria Wien	2	-0.142857143	-0.125	-1	-4	0	-0.25	0.428571429	1.229166667	107
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.854166667	7109	45	SK Sturm Graz	Mladost Podgorica	-1	0.444444444	0	0	-2	0	0	1.111111111	0	108
ÖFB-Cup  ÖFB-Cup	2017	07	So	0.645833333	1800	3	FC Hard	SK Sturm Graz	-3	0	-0.9	0	0	-0.166666667	-2	0	1	109
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.854166667	5500	4	Mladost Podgorica	SK Sturm Graz	-3	1	-0.545454545	0	1	-0.166666667	-1	3	1.181818182	110
Bundesliga  Bundesliga	2017	07	So	0.791666667	7281	3	SK Sturm Graz	SKN St. Pölten	1	0.75	-2.125	-0.166666667	-0.333333333	-0.25	-4	1.333333333	0.75	111
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.791666667	15000	4	SK Sturm Graz	Fenerbahce Istanbul	-1	0.769230769	0	0	-0.333333333	0	0	1.461538462	0	112
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.8125	37701	4	Fenerbahce Istanbul	SK Sturm Graz	0	2	-0.214285714	0	1	-0.125	-0.333333333	3	1.357142857	113
Bundesliga  Bundesliga	2017	08	So	0.791666667	3800	3	SV Mattersburg	SK Sturm Graz	-1	0.444444444	-0.2	-0.4	0	-0.125	-0.285714286	1.222222222	1.333333333	114
Bundesliga  Bundesliga	2017	08	Sa	0.770833333	9478	6	SK Sturm Graz	Wolfsberger AC	1	0.8125	-0.875	-0.125	-0.125	-0.5	-1.25	1.4375	0.625	115
Bundesliga  Bundesliga	2017	08	Sa	0.666666667	21000	7	SK Rapid Wien	SK Sturm Graz	-1	0.555555556	-0.058823529	-1	1	0	-0.125	1.333333333	1.529411765	116
Bundesliga  Bundesliga	2017	09	Sa	0.666666667	6009	13	LASK	SK Sturm Graz	1	0.5	0	0	0	0	0	1.5	1.611111111	117
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	2888	7	FC Admira Wacker Mödling	SK Sturm Graz	1	0	-0.052631579	-1.25	-1	0	-0.1	1	1.526315789	118
ÖFB-Cup  ÖFB-Cup	2017	09	Mi	0.75	1123	4	USK Anif	SK Sturm Graz	-1	0	-0.1	0	0	0	-0.181818182	0	1.45	119
